Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
19.53125,-40.9188716884476,86.54156545893309,-39.64184263572183,92.50844065179096
24.4140625,-42.49800907124366,99.40502218139564,-41.30216528432973,97.6036036582444
29.296875,-42.48198434646881,115.5449641004697,-41.14415906207564,114.2888420923709
34.1796875,-43.6229200824218,123.0069367242358,-42.30170036628322,123.1939860724726
39.0625,-42.40937094847659,43.26846799934481,-41.12507952298039,35.5977096706066
43.9453125,-41.9738480931853,132.0212053813444,-40.65718161846925,124.5392787946681
48.828125,-39.9650620787464,70.08185515594694,-38.63499935226754,64.15762079547878
53.7109375,-36.52506990337779,76.55242540295554,-35.30396780390316,70.44354436917665
58.59375,-35.35871882460463,77.10508469476633,-34.13545693643186,71.00267340632097
63.4765625,-35.25907206923791,79.00356761315261,-34.03865510591207,72.94326954362221
68.359375,-36.69270858321151,77.06521378762284,-35.47634967287788,71.09794535248757
73.2421875,-41.19741987646371,46.45709070009635,-40.00178467551056,41.91685447485636
78.125,-44.5807860716348,94.93419157169612,-43.39395745144036,90.79443656618126
83.0078125,-43.90574379209479,48.87080784481748,-42.75560801046221,39.89298925490254
87.890625,-44.98303920089594,8.133268803652022,-43.69408609869389,175.1697893756733
92.7734375,-41.92236282664997,166.8510067736823,-40.69825898340927,155.858898276031
97.65625,-40.37648845465159,158.7569345102958,-39.19749883111236,148.2931324060857
102.5390625,-40.72917728702897,160.1060554729948,-39.57215902803382,149.2960351341859
107.421875,-39.61977053943102,163.7267845110683,-38.49004528595819,152.1948423857398
112.3046875,-37.8775900917792,151.2316575324983,-36.7677625459182,139.4642103726972
117.1875,-37.07051180132721,116.988692202575,-35.94876555859981,107.7982582282662
122.0703125,-34.23005619126801,52.72507240298413,-33.10339107808599,38.91620981361787
126.953125,-29.15311092998007,62.62714670626668,-28.14174279868465,47.95627388145284
131.8359375,-24.59660946207363,67.58415113344918,-23.60250193986791,52.8145800598609
136.71875,-22.18662504190494,69.93014824335945,-21.19518162245251,55.11905144347428
141.6015625,-21.78570946804154,69.95014038045088,-20.79652959445562,55.1305729071906
146.484375,-22.39049322380557,72.14044165779185,-21.39201728187292,57.29071864231661
151.3671875,-25.7830366766041,76.47748149547623,-24.81810589716116,61.47990667184821
156.25,-32.44214455830456,94.39829007159435,-31.52923966779175,77.24376093024348
161.1328125,-37.91767569860024,158.9274263918606,-36.99179240648981,139.0203717937165
166.015625,-37.34030154435745,165.159729822159,-36.54905812375068,146.0402364278509
170.8984375,-35.94323584868809,167.8406003581106,-35.15169362866316,148.8761516374123
175.78125,-35.81046327934996,168.359209429831,-35.02468495446271,149.476466256752
180.6640625,-35.13382978593422,170.6543741415065,-34.37455536896995,151.7568340381864
185.546875,-35.14444693630601,179.4951458797165,-34.36376025296683,160.2341601973065
190.4296875,-34.35021758756871,67.26529200645408,-33.68321312890615,44.52019307230803
195.3125,-32.85084587672245,77.71960961285215,-32.20821056401665,55.09916898321902
200.1953125,-30.39158079904222,79.27380344814642,-29.78710837443156,56.73220793412789
205.078125,-30.23281530564473,79.96053071109364,-29.62102855848081,57.48183150328525
209.9609375,-31.00701483585317,80.40576304620117,-30.37200370501471,57.95147583343211
214.84375,-33.537539956507,82.07585134325615,-32.93235768785437,59.68720867807951
219.7265625,-33.14721049615902,85.44645071006913,-32.69039940048958,63.5334121611008
224.609375,-33.39790900355403,27.99396559289126,-32.95507692204622,11.50849751841902
229.4921875,-33.81938308373248,4.456990343977351,-33.45760526832805,165.2545904801026
234.375,-30.91344078057318,165.9808004633947,-30.6774115780626,141.2774287340604
239.2578125,-27.41192633136309,150.8382641221071,-27.211735758044,125.1772509346071
244.140625,-24.72801193194195,137.0075285628955,-24.58733947782904,111.7657627859151
249.0234375,-21.54008194568146,137.3256862253067,-21.4724478349819,113.1827824502661
253.90625,-20.21577532052485,155.2569704095168,-20.21247731348165,131.9438786223718
258.7890625,-20.5715348480553,31.60978933375048,-20.61061303664913,0.5491641802917966
263.671875,-21.58946147321135,49.91329382232063,-21.55767445916459,18.47234465991461
268.5546875,-22.86034031352301,76.2225083943701,-22.8675896948021,42.69712707619238
273.4375,-22.04097597595307,79.55888494946487,-22.30722437743324,46.15584149057899
278.3203125,-19.88511805443861,81.01532044504252,-20.19097580576162,47.6625322285588
283.203125,-18.8929219494575,78.24219738425406,-19.19955064310546,45.03469025058849
288.0859375,-19.89820234757217,79.73660067879808,-20.20541703975922,46.69487278883479
292.96875,-23.78321003362314,56.507075001401,-24.15174141221756,23.60921157074694
297.8515625,-29.40489766892229,12.98909041095893,-29.92444218986033,156.0173727076387
302.734375,-32.05659267879369,12.77521660420077,-32.74721153820233,155.4607933427293
307.6171875,-31.80281048766613,14.2382289479903,-32.56181262325067,156.9392616352231
312.5,-29.28229612621936,14.96499226409078,-30.05311692638294,157.6857328761462
317.3828125,-26.47495022120336,17.6483145136725,-27.41384372839499,160.3899253259207
322.265625,-25.06716324060405,20.72467684947178,-26.14602251511961,163.8107001814007
327.1484375,-24.12449909788162,25.32006089153623,-25.247697138358,165.1506946221962
332.03125,-25.49589702741137,46.11041136268422,-26.64174095527156,3.087346762651239
336.9140625,-26.22080510282702,48.92520742626998,-27.54021635683388,5.505784909013636
341.796875,-26.67797306397343,49.60095860202028,-28.14834741009855,6.030248897132719
346.6796875,-24.56765139068907,50.75141456035841,-26.29923708431176,7.091002178427739
351.5625,-23.36423848727551,50.68428879480207,-25.21349626712586,6.77959548522429
356.4453125,-23.18200198421007,51.46748022370066,-25.08496672391729,7.01814067169834
361.328125,-23.72584790290568,56.30206273325737,-25.63402851961644,10.18850641338145
366.2109375,-23.15379982620815,77.03859081213561,-25.29267714430745,26.83195033166627
371.09375,-23.63534867804825,108.7477397158013,-25.79123007767667,62.02265544514562
375.9765625,-24.14485793814336,122.5817870032758,-26.69608121164626,80.36055390113408
380.859375,-24.22927820907526,129.5002510884236,-26.78238632582211,87.25387691294965
385.7421875,-26.11497942844629,132.6783431895215,-28.656019218554,88.94702105228721
390.625,-28.4725677016894,128.9283951255261,-31.38309225345798,87.46489867044987
395.5078125,-30.52291550246055,144.5949814786596,-33.61155533696913,86.58599996813672
400.390625,-32.43563773242991,140.3517148871199,-35.75569592800014,84.38612232115184
405.2734375,-35.03316447011067,131.0823164404734,-38.50110943453741,75.92008897912076
410.15625,-32.87574283975599,118.2567551945365,-36.69003468599455,63.45215258414369
415.0390625,-31.1840129711017,112.2442679139971,-35.39209000434968,57.17629267655925
419.921875,-30.76768670410727,98.24893932024339,-35.04033679533123,42.7503852450094
424.8046875,-31.87161753284972,71.73044759786147,-36.23327613330726,14.80556359378339
429.6875,-33.63345629633245,64.3633290323463,-38.16244047994977,6.258898382979363
434.5703125,-37.0334547901912,78.77662420974504,-41.91890592676508,19.308425393458
439.453125,-39.18638025122644,97.0547695571324,-44.47170477384571,37.00923294719406
444.3359375,-40.6400390912162,103.7052663413648,-46.08740506927499,42.69971486471815
449.21875,-42.82974716757672,101.4737184568325,-48.51160141576816,44.37702417977593
454.1015625,-45.53513690594748,78.95833543792837,-51.53731713562648,12.92320256879862
458.984375,-46.33347061937254,81.42810356874548,-52.77953020609881,12.65840604873849
463.8671875,-44.53466378981845,74.43511858134613,-51.82720046517312,1.000494705878981
468.75,-42.30144853497712,70.94545776694532,-50.02893474673935,155.4504801159306
473.6328125,-40.57804104914813,112.6720120706201,-48.51786193902281,168.10071850005
478.515625,-36.93226231099111,46.47086228113029,-45.02356168462104,54.3143785882209
483.3984375,-34.5917955916014,95.24636788114329,-43.06805193067397,52.02057302897853
488.28125,-33.1298382581703,162.4776361129889,-42.04347193401964,56.38081480484892
493.1640625,-32.05178707326471,118.3559923075867,-41.47392233896277,49.42264260831091
498.046875,-31.89322040475922,28.55878803819285,-41.82713984415579,32.81113267203178
502.9296875,-32.28135033212995,63.36824580698985,-42.72066502936825,157.2409869751472
507.8125,-33.09017412701813,50.30641080135694,-44.02494844315959,153.0570270935881
512.6953125,-34.5619721761617,48.50522422302251,-46.0988798393888,152.2088499381974
517.578125,-36.08983345280491,48.01715747159984,-48.46572717594435,151.909642379625
522.4609375,-37.33789006750639,44.33860137089254,-50.65934377615156,148.7042215658002
527.34375,-34.77525539450572,42.20642530355248,-50.03882510226865,146.8956538194064
532.2265625,-32.37461245341918,42.29822997922517,-47.97206747200536,147.9415676730443
537.109375,-30.80389455612965,53.52072691911376,-47.08245744252583,166.4947814938661
541.9921875,-30.93175439132515,100.3219474542296,-47.63965566890144,32.66157350335068
546.875,-31.5538430239431,123.7946994016876,-49.76580204999127,47.55903053764474
551.7578125,-33.13003933018258,129.7345459719921,-52.76026857246266,48.9180750156078
556.640625,-33.26721796963849,131.1564029975916,-54.65512619678046,49.04658968777939
561.5234375,-30.84822928987322,101.3935097128302,-55.84653382081832,57.43551361704728
566.40625,-26.2750850972834,71.24704112444954,-56.29615827717999,88.95555008654583
571.2890625,-22.17137475342448,67.22894412215275,-55.12577334166978,101.076244067005
576.171875,-21.20234830901897,66.62344586339661,-55.7958262907608,102.9123417337203
581.0546875,-21.79836448369645,66.54393613465061,-55.85757442205986,102.9851626293082
585.9375,-22.88004940600476,66.51161672411133,-56.1647562432491,103.413446322125
590.8203125,-26.93124849436584,66.4972076154841,-59.38790784540565,103.0254647431463
595.703125,-35.66755249582346,66.29442232738208,-62.57971113947252,102.0086762022856
600.5859375,-41.24549407907681,37.27785126415905,-61.82684503158869,104.5545300385719
605.46875,-42.16687966131778,163.7884019924961,-61.69780521536448,78.96273438311076
610.3515625,-43.37694564547164,154.3836283873789,-61.08586313495421,66.11626856356294
615.234375,-41.91164106735984,153.3520977267253,-57.68911942885011,64.65149941385329
620.1171875,-39.65101892279664,150.8137118391726,-54.8581896127768,61.85070179432612
625,-39.43645083109971,143.3886202462671,-54.18275043625187,56.26914704715148
629.8828125,-37.55468652590985,132.0636816732686,-51.43529497211403,56.22181722790705
634.765625,-36.73697776554886,115.9919544115543,-50.23451485166468,67.44020054641257
639.6484375,-37.53604254150842,116.8502068559034,-50.58758148203792,70.05847243003579
644.53125,-39.66516585035252,132.0277248083979,-52.2883787143213,67.36570729579421
649.4140625,-39.97119818851534,176.9080450460091,-51.9265448372028,78.71456277417168
654.296875,-40.47312690634956,45.65543984779788,-52.04588511542703,94.99436467406328
659.1796875,-41.52533630921309,59.7402003363464,-52.35017480147047,107.8379876315262
664.0625,-43.52981162106474,106.8798081757972,-54.12444411327441,155.3487916826379
668.9453125,-43.85986300715264,146.3513380753625,-53.49715894817707,29.67029835825473
673.828125,-43.4455677219446,0.8375063179893331,-52.54699902974821,68.51575588874843
678.7109375,-40.46044531195772,34.79289765295531,-49.2987985530247,106.0453146893403
683.59375,-38.53229785710059,50.2822724542995,-47.17400387036136,121.7350259290331
688.4765625,-38.08918467200492,58.97187610087682,-46.53142308163122,131.428009387807
693.359375,-38.77183290090707,58.27131939956754,-46.42395741253178,130.4563617625994
698.2421875,-32.96193743446823,56.29954086558312,-40.4625241092498,127.5206195246639
703.125,-30.99380272399273,80.16756256331945,-38.45412736990993,151.8724322908922
708.0078125,-31.4611933832872,113.8863175694206,-38.93585242997501,179.7102777535046
712.890625,-33.26632000454133,118.5148444832749,-40.60956243590016,3.077282238617458
717.7734375,-32.76329903028084,120.3328561882972,-39.59067008337806,4.46906852884956
722.65625,-34.30658453555512,119.1851126744071,-41.16614550286958,2.895772414132338
727.5390625,-37.60220770955578,116.8103790809671,-44.13748080246894,0.08591941033184779
732.421875,-37.23461422318555,108.4536940977865,-43.43417576589389,171.1324687477937
737.3046875,-38.34147899278885,82.56055575949894,-44.52196939126803,144.5113506796146
742.1875,-41.88709263678898,103.257510067595,-48.06608751708965,163.390258322055
747.0703125,-42.74166953391293,160.181060945815,-48.26210061405074,38.18883207641784
751.953125,-43.35852753541242,162.4776476014447,-48.74004966984916,14.96944707254054
756.8359375,-45.53229210959888,148.7837398588306,-50.78330605235747,161.5437448238747
761.71875,-46.84399216433957,122.4771699545626,-51.84926231314939,145.4431637535849
766.6015625,-46.18050291860403,95.94983230444437,-51.07923365448521,132.2858575458098
771.484375,-45.83996418295187,76.65887459034319,-50.39829957663856,119.0359082300942
776.3671875,-44.93370957457355,66.38652817130533,-49.56480882059956,108.6271419034258
781.25,-45.50063468980795,67.4480058063038,-50.13511193984944,105.9858287838526
786.1328125,-46.67870464367967,57.64990655346914,-51.17235095487213,102.1179074314841
791.015625,-47.5335489764412,73.77397651282396,-51.7764956179969,109.7866202606088
795.8984375,-47.51282549660453,120.6834872381962,-51.5106561371742,139.8574696553121
800.78125,-47.83498885883259,171.702017739106,-51.93312038045222,18.52494425643474
805.6640625,-48.19702294383687,26.94044748175201,-52.16940439054713,12.45799238929628
810.546875,-46.25038305018282,3.063011307496474,-49.86820075541846,54.15787854659533
815.4296875,-42.06177782511766,7.879698426442635,-45.55317112562178,59.94321364304447
820.3125,-39.04559565028963,12.97718159249121,-42.51273491046845,65.75183162267709
825.1953125,-36.05582721523005,20.02094704563725,-39.55565659981416,74.03481871232529
830.078125,-35.44122297526239,31.10516730097221,-38.91774099786254,86.97817445131787
834.9609375,-36.32145880711128,45.45679229821077,-39.72166908281407,104.0412779866034
839.84375,-37.33571351035347,53.93188818419514,-40.49504846334258,113.79065964651
844.7265625,-36.37334216211648,56.39282671651577,-39.49525825293627,114.4106138016106
849.609375,-36.3799225141239,55.91423200778603,-39.48811660723395,112.787175790031
854.4921875,-38.12804341603417,1.679139673143867,-41.15714914470567,64.13863758249029
859.375,-37.3843041520223,77.99502081402028,-40.33995842669214,153.3819564252632
864.2578125,-37.64113238609265,46.81366182689325,-40.53689962934823,113.106584798705
869.140625,-38.85898993385744,40.66470742061377,-41.7013182508208,101.6671328680453
874.0234375,-40.9907822146657,34.56536828587976,-43.7584180597833,90.93986573339592
878.90625,-44.15877910810617,30.97687151734951,-46.80624419806517,75.4054762068868
883.7890625,-46.96679721576454,25.40129384381565,-49.44875711513098,66.54149691968109
888.671875,-48.39111672083725,26.30190709138271,-50.8806381963886,69.13317680076221
893.5546875,-47.21368755373652,28.04582638674258,-49.45652911507165,68.05990015489425
898.4375,-46.83461877773322,22.20088312805547,-49.04771853931764,60.34882821618194
903.3203125,-47.00797495831736,28.56420424803797,-49.17255140442937,62.94175286825002
908.203125,-46.80965499222469,66.45786808923397,-48.99812836434614,63.9837568215677
913.0859375,-46.03574441664001,179.3105386516051,-48.24833504432239,59.27819971192601
917.96875,-45.33424246497125,7.003819222299606,-47.51307863946957,58.35930109670552
922.8515625,-45.40094279444433,12.13438655209506,-47.52001461447266,61.87463307814662
927.734375,-46.21669270634431,11.85722772569174,-48.27243553181209,60.31743550096357
932.6171875,-47.63839965907395,8.242165129150349,-49.65590312787364,56.50303050585137
937.5,-48.85256307444538,5.582781614905401,-50.60711165314981,52.9542401915925
942.3828125,-49.81397891056932,155.8887725480216,-51.58083941975509,23.4576407321469
947.265625,-49.72378796823948,148.641416235521,-51.29646418573227,14.1913640012377
952.1484375,-48.85504566161955,158.7225410900644,-50.4915184476409,18.07104736905627
957.03125,-47.78398186914738,167.120397606904,-49.3401150411471,20.89861425700751
961.9140625,-46.01475022152826,58.47445301951952,-47.66291151425122,82.54990641175776
966.796875,-44.64976716784041,93.16218200585746,-46.27591425177982,132.7087327672792
971.6796875,-43.66622137757425,100.7402375269454,-45.19574513165473,141.6199814502106
976.5625,-43.2400961903341,103.7381609411045,-44.62238621316044,144.3979587450327
981.4453125,-40.01023945459394,104.5928656607043,-41.49191622280239,145.1335933266057
986.328125,-39.29433512423158,107.6572528782311,-40.68128811992565,149.0129095666094
991.2109375,-39.28815042523262,107.7900997131171,-40.63951435380815,150.6378384820891
996.09375,-37.57222913043405,83.12224004611419,-38.84950618514448,133.266788200011
1000.9765625,-36.13442911044415,72.77220459145995,-37.39247009004785,133.7352575845005
1005.859375,-35.73050428731916,51.30456771886168,-36.95647599843333,131.4048370665624
1010.7421875,-35.77349717451183,164.5435614109909,-36.97238381508652,133.3363680391701
1015.625,-35.8558035845875,23.22919508940277,-37.02859343933569,15.35906617270437
1020.5078125,-35.98901621505699,35.69690080689039,-37.14048781521344,56.80996400199112
1025.390625,-36.06694849550795,84.64527850599465,-37.19561982412986,117.1353546233096
1030.2734375,-36.29862025043033,135.3460723193492,-37.38270101471085,170.2324948211835
1035.15625,-37.01755045064235,151.590020783578,-38.0480409596172,5.490470194468976
1040.0390625,-38.08940475726929,153.3404266599042,-39.07413106011604,8.262030992687491
1044.921875,-39.23736747317721,162.412566836404,-40.16140694251882,18.59347431883288
1049.8046875,-40.21363677950235,165.303350151451,-41.06690546997734,22.4874398069926
1054.6875,-40.83976350394479,134.3479071425732,-41.67185084124555,142.4815794082361
1059.5703125,-41.29920008016197,114.0206578014556,-42.1384540255065,93.56866516515595
1064.453125,-41.86552763303713,120.1363645351106,-42.70267956957785,38.75665028190676
1069.3359375,-42.04372802682712,129.2723430481908,-42.84361289401895,132.5009267629647
1074.21875,-41.80703129441846,137.7312524174627,-42.62630774280076,37.67869152424712
1079.1015625,-42.36622069083766,147.8933707190822,-43.13572842301781,33.84289700568642
1083.984375,-43.5546209373969,166.7760034989875,-44.29504382871121,38.24199382623448
1088.8671875,-46.32477587963557,168.6942169613886,-47.02643369031796,21.03739886290974
1093.75,-44.381631320937,154.4530877328482,-45.05274066738571,174.489344475107
1098.6328125,-41.26032709862378,173.7851847389374,-41.94491603438836,20.26964559795925
1103.515625,-39.97376992960071,53.19880120721707,-40.69587896593264,88.40110548798724
1108.3984375,-38.8575674923874,68.64877807210463,-39.5775568885324,103.3551572507123
1113.28125,-38.6863813674964,71.48771897072568,-39.38184931784959,106.1735583187048
1118.1640625,-40.66583786167368,71.77383189219846,-41.2237410117265,106.5705539605851
1123.046875,-39.45192588318106,70.29823764154258,-40.00629792503324,105.017755765431
1127.9296875,-38.25442674111902,67.9411054533138,-38.8206127388792,102.1777073887678
1132.8125,-36.24189862415337,62.19328673046093,-36.72029718154279,95.07108551295947
1137.6953125,-33.05156160729466,59.92813005080412,-33.52136949297738,91.34653903768827
1142.578125,-31.79411362499553,64.46881653829399,-32.25992229190311,94.16718325325864
1147.4609375,-32.08519010475574,65.81827699304615,-32.55109654784633,88.94852109647893
